name,replies_count
"Abuga Makori EGH, MBE",66
Adede Adede,2
Ahmed Mohamed ((ASMALi)),442
Airo Nick🇳🇦,9
Amakanji Thomas,13
BAHA MACHACHARI🤕,25
Better Half,2
Bi. Mukhisa Kituyi,18
Blessing KE 🇰🇪,1
COSMO CHOY,36
Carroh💋💉,7
Channel 54 News,16
Collines .O,49
Cyrus Kariuki🇰🇪,98
DAN SUDI,0
Daisy_k⚡️™️🇰🇪,46
Dan Mose,15
Dennis Nyambane,9
Dj Shiti,16
ELIEZER MULEI JAMES,10
Echesa Rashid™,1
Edith Naliaka,45
Elias Kiptoo Arap Misoi (KAM)🗯️,32
Eng. Peter Kiptoo,51
Essy Okenyuri,8
Evans Miloo Rutto🇰🇪,26
Fabian Siayi,0
Facts Guy 🙌,1
Gabriel Dolan,10
George T. Dianoh™,43
Godfrey Muriungi,4
Gunner - #WeAreTeamKenya 🇰🇪,35
Hon Peter Kariuki,70
Hon. Kimaningunjiri,96
Its me again 🇰🇪,4
Ivy khoimosh,5
JALANG'O™,23
JULIANI,9
JUMA MKURUTO,9
"Jayden, go home, you're drunk.",8
Jeff Mwazzak,26
Jones,10
Jovial,8
K24 TV,96
KEMUNTO,4
KIPLETING MANUELA SON OF ELDORET,1
KOMRADE IDALINYA♔,21
KOT CHIEF⭐👑🇰🇪🇨🇨,6
Kairetu 🌸🌸🌸,7
"Kalale Steve,ACT🇰🇪",7
Kamba Boy,8
Karma,1
Kawangware Finest™️ (Moturi) 🇰🇪,29
Kemboi🇰🇪💥,9
Kenya Finest❤,4
Kenyan Dictionary,16
Kitsuru Oligarch🔱,5
La Qween,275
Lord Abraham Mutai,111
Lucy Wangui,40
MARIGIRI,87
MBATIA KENYATTA,3
Machete The King,42
Madoka™🇰🇪,29
Main Wolf Girl❤,19
Masambaya Fredrick,36
Maverick Aoko,140
Mayakah Douglas👁️‍🗨️,60
Mejja,20
Miruru Waweru,21
Mr Dynamic 🇰🇪🧢📖,16
Mwangì,5
Mwende💖,9
NINJA KID 🎶,3
Nadia Mukami,13
Nahashon Kimemia,69
Natasha Lunah,0
Nation Africa,40
Ndotch The Brand 🇰🇪,4
Nyarari Ya Gikuyu,20
OK Mwania,7
Olivia Mwenesi,7
Omar Lali,31
Oyoo Gordon,12
PROF. GEORGE MAGOHA🇰🇪,77
Pretty Ammina,63
QUEEN👑,10
Rein,30
Richy Muge,21
Road Alerts,25
Rock ™,1
Ronoh Cornelius (Kipchumba).,239
S.N. Nyamao 🇰🇪,24
SUPER GAL,10
Salim Swaleh,47
Sen.Johnson Nduya Muthama,59
Shedy™,1
Solomon Kuria,23
Soni∆h🦋,15
T.i.f.a.n.n.i.e 😍,8
Tabby Kanyungu,3
Team William Ruto & Dp Ruto Page,25
The Berry🍇🍇,5
Thee Daisy,5
Tony Gachoka,18
United Democratic Alliance,36
Uzalendo News,1
Wanjiru L 🇰🇪,97
We The People,14
Winnie❤🇰🇪,21
___.ken3dy 👑 🚀🇰🇪,2
_______@Kenyan Dictionary📖📖_____,31
d,17
nderitu daniel,50
odhiambo odhiambo,35
senator  kiprotich Arap cherargei,147
sharleen Wambui,515
vidal ke,9
Épïsødē 💚,29
꧁༒☬𝓜𝓾𝓽𝓱𝓾𝓲𝓜𝓴𝓮𝓷𝔂𝓪☬༒꧂ 🇰🇪,9
𝐅𝐫𝐚𝐧𝐤 𝐌𝐭𝐞𝐭𝐞𝐳𝐢 (ʙᴀꜰ)🗨️🇰🇪,16
𝐓𝐑𝐈𝐁𝐄𝐒𝐌𝐀𝐍,5
𝕎𝕒𝕟𝕛𝕚𝕜𝕦❤️,3
𝙳𝚎𝚜𝚖𝚘𝚗𝚍 🐐🇰🇪,20
🅴🆁🅸🅲😂™,6
🍁𝐊𝐖𝐀𝐍𝐈 𝐍𝐈 𝐊𝐄𝐒𝐇𝐎?🍁,7
