name,likes_count
"Abuga Makori EGH, MBE",284
Adede Adede,80
Ahmed Mohamed ((ASMALi)),2396
Airo Nick🇳🇦,165
Amakanji Thomas,250
BAHA MACHACHARI🤕,126
Babu Owino,49
Better Half,47
Bi. Mukhisa Kituyi,261
CARSON OSORO,61
COSMO CHOY,578
Carroh💋💉,56
Channel 54 News,342
Collines .O,321
Cyrus Kariuki🇰🇪,893
DAN SUDI,177
Daisy_k⚡️™️🇰🇪,173
Dan Mose,43
Dan Nyagah,66
Danny Akala💙,69
Dennis Nyambane,69
Dj Shiti,233
ELIEZER MULEI JAMES,165
Eaglestooth,56
Echesa Rashid™,49
Edith Naliaka,449
Elias Kiptoo Arap Misoi (KAM)🗯️,282
Eng. Peter Kiptoo,225
Essy Okenyuri,107
Evans Miloo Rutto🇰🇪,427
Evans Mwendwa,54
Facts Guy 🙌,62
Farouk Teigut Kibet,68
GUEVARA🇰🇪,85
Gabriel Dolan,273
George T. Dianoh™,253
Gunner - #WeAreTeamKenya 🇰🇪,184
Heisenberg,48
Hon Peter Kariuki,511
Hon. Kimaningunjiri,626
It's Me JK,56
Its me again 🇰🇪,85
Ivy khoimosh,287
JALANG'O™,129
JULIANI,78
JUMA MKURUTO,68
Jane Kyalo,53
"Jayden, go home, you're drunk.",283
Jeff Mwazzak,1296
Jerry Kim🇰🇪,41
Jones,234
Josh Oluga,45
Jovial,107
Julius Migayi,41
K24 TV,597
KEMUNTO,69
KOMRADE IDALINYA♔,171
Kairetu 🌸🌸🌸,93
"Kalale Steve,ACT🇰🇪",175
Kamba Boy,62
Kawangware Finest™️ (Moturi) 🇰🇪,84
Kemboi🇰🇪💥,140
Kenyan Dictionary,126
Kishan Bhatt™ 🇰🇪,52
La Qween,1368
Lord Abraham Mutai,481
Lucy Wangui,213
MARIGIRI,893
MBATIA KENYATTA,47
Machete The King,407
Madoka™🇰🇪,593
Main Wolf Girl❤,62
Masambaya Fredrick,82
Maverick Aoko,1578
Mayakah Douglas👁️‍🗨️,1922
Mejja,211
Miruru Waweru,320
Mwangì,42
Mwende💖,70
NINJA KID 🎶,100
Nadia Mukami,83
Nahashon Kimemia,657
Nation Africa,169
Neville Isaboke.,79
OK Mwania,130
Olivia Mwenesi,112
Omar Lali,478
Oyoo Gordon,220
PROF. GEORGE MAGOHA🇰🇪,342
Pretty Ammina,306
QUEEN👑,87
Rein,187
Ric Opara,65
Richy Muge,127
Road Alerts,181
Roma Saich ™❁,64
Ronoh Cornelius (Kipchumba).,1787
S.N. Nyamao 🇰🇪,335
SUPER GAL,59
Salim Swaleh,188
Sen.Johnson Nduya Muthama,694
Solomon Kuria,118
Soni∆h🦋,138
T.i.f.a.n.n.i.e 😍,129
Tabby Kanyungu,140
Team William Ruto & Dp Ruto Page,499
The Berry🍇🍇,86
Thee Daisy,55
Tony Gachoka,139
United Democratic Alliance,303
Victor Vick Bor,42
Wanjiru L 🇰🇪,754
Wanyama JK,113
We The People,549
Winnie❤🇰🇪,103
___.ken3dy 👑 🚀🇰🇪,243
_______@Kenyan Dictionary📖📖_____,467
nderitu daniel,391
odhiambo odhiambo,291
senator  kiprotich Arap cherargei,1442
sharleen Wambui,4832
vidal ke,52
Épïsødē 💚,213
꧁༒☬𝓜𝓾𝓽𝓱𝓾𝓲𝓜𝓴𝓮𝓷𝔂𝓪☬༒꧂ 🇰🇪,66
𝐅𝐫𝐚𝐧𝐤 𝐌𝐭𝐞𝐭𝐞𝐳𝐢 (ʙᴀꜰ)🗨️🇰🇪,139
𝐅𝐫𝐢𝐝𝐚𝐡_𝐊𝐞😍,48
𝕎𝕒𝕟𝕛𝕚𝕜𝕦❤️,47
𝙳𝚎𝚜𝚖𝚘𝚗𝚍 🐐🇰🇪,88
🇵巳𝖙巳ṛ_420🇰🇪,51
🍁𝐊𝐖𝐀𝐍𝐈 𝐍𝐈 𝐊𝐄𝐒𝐇𝐎?🍁,92
