name,retweets_count
"Abuga Makori EGH, MBE",44
Adede Adede,21
Ahmed Mohamed ((ASMALi)),328
Airo Nick🇳🇦,41
Amakanji Thomas,32
BAHA MACHACHARI🤕,108
Better Half,38
Bi. Mukhisa Kituyi,122
Blessing KE 🇰🇪,16
COSMO CHOY,73
Carroh💋💉,59
Channel 54 News,98
Collines .O,55
Cyrus Kariuki🇰🇪,170
DAN SUDI,18
Daisy_k⚡️™️🇰🇪,23
Dan Mose,29
Dennis Nyambane,19
Dj Shiti,172
ELIEZER MULEI JAMES,17
Echesa Rashid™,37
Edith Naliaka,76
Elias Kiptoo Arap Misoi (KAM)🗯️,51
Eng. Peter Kiptoo,30
Essy Okenyuri,23
Evans Miloo Rutto🇰🇪,59
Fabian Siayi,17
Facts Guy 🙌,28
Gabriel Dolan,80
George T. Dianoh™,39
Godfrey Muriungi,13
Gunner - #WeAreTeamKenya 🇰🇪,104
Hon Peter Kariuki,181
Hon. Kimaningunjiri,116
Its me again 🇰🇪,23
Ivy khoimosh,43
JALANG'O™,145
JULIANI,65
JUMA MKURUTO,19
"Jayden, go home, you're drunk.",25
Jeff Mwazzak,96
Jones,22
Jovial,86
K24 TV,57
KEMUNTO,18
KIPLETING MANUELA SON OF ELDORET,25
KOMRADE IDALINYA♔,168
KOT CHIEF⭐👑🇰🇪🇨🇨,15
Kairetu 🌸🌸🌸,125
"Kalale Steve,ACT🇰🇪",30
Kamba Boy,20
Karma,13
Kawangware Finest™️ (Moturi) 🇰🇪,14
Kemboi🇰🇪💥,52
Kenya Finest❤,55
Kenyan Dictionary,69
Kitsuru Oligarch🔱,43
La Qween,249
Lord Abraham Mutai,126
Lucy Wangui,49
MARIGIRI,286
MBATIA KENYATTA,15
Machete The King,90
Madoka™🇰🇪,78
Main Wolf Girl❤,59
Masambaya Fredrick,35
Maverick Aoko,284
Mayakah Douglas👁️‍🗨️,535
Mejja,167
Miruru Waweru,77
Mr Dynamic 🇰🇪🧢📖,17
Mwangì,13
Mwende💖,65
NINJA KID 🎶,83
Nadia Mukami,59
Nahashon Kimemia,176
Natasha Lunah,13
Nation Africa,34
Ndotch The Brand 🇰🇪,15
Nyarari Ya Gikuyu,32
OK Mwania,23
Olivia Mwenesi,31
Omar Lali,286
Oyoo Gordon,69
PROF. GEORGE MAGOHA🇰🇪,37
Pretty Ammina,89
QUEEN👑,80
Rein,53
Richy Muge,30
Road Alerts,22
Rock ™,21
Ronoh Cornelius (Kipchumba).,298
S.N. Nyamao 🇰🇪,57
SUPER GAL,21
Salim Swaleh,29
Sen.Johnson Nduya Muthama,104
Shedy™,13
Solomon Kuria,56
Soni∆h🦋,131
T.i.f.a.n.n.i.e 😍,111
Tabby Kanyungu,25
Team William Ruto & Dp Ruto Page,51
The Berry🍇🍇,82
Thee Daisy,45
Tony Gachoka,61
United Democratic Alliance,62
Uzalendo News,14
Wanjiru L 🇰🇪,170
We The People,177
Winnie❤🇰🇪,97
___.ken3dy 👑 🚀🇰🇪,112
_______@Kenyan Dictionary📖📖_____,202
d,19
nderitu daniel,54
odhiambo odhiambo,29
senator  kiprotich Arap cherargei,175
sharleen Wambui,789
vidal ke,48
Épïsødē 💚,199
꧁༒☬𝓜𝓾𝓽𝓱𝓾𝓲𝓜𝓴𝓮𝓷𝔂𝓪☬༒꧂ 🇰🇪,14
𝐅𝐫𝐚𝐧𝐤 𝐌𝐭𝐞𝐭𝐞𝐳𝐢 (ʙᴀꜰ)🗨️🇰🇪,16
𝐓𝐑𝐈𝐁𝐄𝐒𝐌𝐀𝐍,33
𝕎𝕒𝕟𝕛𝕚𝕜𝕦❤️,47
𝙳𝚎𝚜𝚖𝚘𝚗𝚍 🐐🇰🇪,70
🅴🆁🅸🅲😂™,20
🍁𝐊𝐖𝐀𝐍𝐈 𝐍𝐈 𝐊𝐄𝐒𝐇𝐎?🍁,97
